"Nama Kost","Jenis Kost","Fasilitas Kamar","Fasilitas Umum","Harga","rating Krebersihan","rating Kenyamanan","rating Keamanan","rating Harga","rating Fasilitas kamar","rating Fasislitas Umum","Total Rating","Jarak Ke kampus"
"Kost Putri Tamborin 18 Lowokwaru Malang 6D90LP8L","putri","AC, kasur, meja, meja rias, lemari baju","KM.luar, wastafel, WiFi, kulkas, R.tamu, R.makan, R.jemur, parkir motor","Rp. 800.000/bulan","5.0","4.7","5.0","5.0","5.0","5.0","5.0","2.1km ke politeknik negeri malang"
"Kost Cozy Dozy 2 Tipe B Lowokwaru Malang 197CD","putra","kasur, meja, lemari baju, jendela, cermin,","KM.luar, wastafel, shower,WiFi, Kulkas, R.cuci, R.tamu, penjaga kos, parkir motor, parkir mobil, parkir sepeda, listrik","Rp.650.000/bulan","4.0","5.0","4.0","5.0","5.0","5.0","5.0","2.5km ke politeknik negeri malang"
"Kost Apik Prasanjaya Tipe A Lowokwaru Malang S9MT44K1","Putri","Kasur, Meja, Lemari, Ventlasi, Kursi","Wifi, Kulkas, Penjaga, Ruang Makan, Ruang Jemur, Parkir Motor","Rp. 913.000/bulan","5.0","5.0","5.0","4.7","5.0","5.0","5.0","694 m dari UIN"
"Kost Apik Ulfah MT Haryono Tipe A Lowokwaru Malang 474RPH3L","Putri","Kasur, Meja, Lemari, Bantal, Cermin","Wifi, Jemuran, Parkir Motor, KM Luar","Rp. 813.750/bulan","5.0","5.0","5.0","4.9","5.0","4.8","5.0","751  m dari POLINEMA"
"Kost Griya Prima Tipe A Lowokwaru Malang PK19T0B0","Putra","Kasur, Meja, Lemari, veentilasi, cermin","Wifi, Ruang Cuci, Penjaga, Ruang Jemur, Dapur, KM Luar","Rp. 850.000/bulan","5.0","4.7","5.0","5.0","4.7","5.0","4.9","450m dari UIN"
"Kost Sumbersari 227B Tipe A Lowokwaru Malang FVB503Q4","Putri","Kasur, Meja, Lemari, Ventilasi, Bantal","Wifi, Kulkas, Ruang Cuci, Ruang Tamu, Ruang Jemur, KM Luar","Rp. 700.000/bulan","4.7","5.0","4.7","4.7","4.7","4.7","4.8","530 m dari UB"
"Kost Kalila Boarding House Lowokwaru Malang 471KB","Putri","AC, Kasur, Meja, TV, Lemari","KM Dalam, Wifi, Ruang Cuci, Ruang Tamu, Penjaga, Parkir Mobil dan Motor","Rp. 2.600.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.8 km dari Universitas Merdeka"
"Kost Muslim Pak Munawar Lowokwaru Malang RAG6Q588","Putra","kasur, Meja, Lemari, ventilasi, jendela","Wifi, Ruang Jemur, Dapur, Balcon, CCTV, KM Luar","Rp. 600.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","199 m dari UIN"
"Kost Harmony Jatimulyo Lowokwaru Malang 367542PH","Putri","AC, Kasur, Meja, Meja Rias, TV","Wifi Ruang Cuci, Kulkas, Ruang Tamu, Mesin Cuci, KM dalam","Rp. 700.000/bulan","1.3","1.3","1.3","1.3","1.3","1.3","1.3","866 m dari POLINEMA "
"Kost House Of California Lowokwaru Malang 154678HO","Putri","Kasur, Meja, Dispenser, Meja Rias, Lemari","KM Luar, Wifi, Ruang Cuci, Kulkas, Ruang Tamu, Penjaga","Rp. 1.000.000/bulan","5.0","3.8","3.8","3.8","4.4","5.0","4.3","561 m dari UMM"
"Kost Griya Prima Tipe A Lowokwaru Malang PK19T0B0","Putra","Kasur, Meja, Lemari, ventilasi, cermin, ","KM Luar, Wifi, Raung Cuci, Penjaga, Ruang Jemur, Dapur","Rp. 850.000/bulan","5.0","4.7","5.0","5.0","4.7","5.0","4.9","450 m dari UIN"
"Kost Biru Sigura Gura Sukun Malang EPA40K01","Putra","AC, Kasur, Meja, TV, Lemari","KM Dalam, Wifi, Mushola, Dapur, CCTV, Jemuran","Rp. 1.400.000/ bulan","5.0","5.0","5.0","5.0","5.0","4.5","4.9","1.6 km dari STIN  Malang"
"Kost Sembilan C&D Tipe VIP 3 Lowokwaru Malang 768391SC","Putri","AC, Kasur, Meja, TV, Lemari","KM Dalam, Wifi, Kulkas, Ruang Tamu, Penjaga, Laundry, Parkir Motor dan Mobil","Rp. 1.650.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","612 m dari UIN"
"Kost Febi Tipe A Lowokwaru Malang 374LA","Putra","Kasur, Meja, Lemari, Baju, Kursi, Bantal","KM Luar, Wifi, Raung Cuci, Ruang Tamu, Penjaga, Ruang Makan","Rp. 750.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","812 m dari UB"
"Kost Pinang Merah 1 Tipe A Lowokwaru Malang 945PM","Putri","Kasur, Meja, Lemari, Kulkas, Ventilasi","KM Dalam, Wifi, Ruang Cuci, Ruang Tamu, Ruang Jemur, Dapur Listrik","Rp. 750.000/bulan","5.0","3.8","3.8","3.8","3.8","3.8","4.0","506 m dari POLINEMA"
"Kost Taman Bunga Merak II Tipe A Lowokwaru Malang 458TB","Putri","Kasur, Meja, Lemari, Kulkas, Ventilasi","KM Dalam, Wifi, Ruang Cuci, Ruang Tamu, Ruang Jemur, Dapur, Listrik","Rp. 800.000/bulan","5.0","5.0","5.0","3.8","3.8","3.8","4.4","679 m dari POLINEMA"
"Kost Bu De Lowokwaru Malang 138BD","Putri","Kasur, Meja, Dispenser, Lemari, Kulkas","Wifi, Ruang Tamu, Penjaga, Laundry, Listrik","Rp. 950.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","837 m dari UB"
"Kost Hidden I Tipe Single Sukun Malang H152SE9F","Putra","Kasur, Meja, Lemari, Bantal, Jendela","KM Luar, Wifi, Kulkas, Dapur, Rice Cooker, Listrik","Rp. 550.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1,6 km dari UB"
"Kost Kerto Asri Dalam Lowokwaru Malang 129KA","Putri","AC, kasur, Meja, Lemari, Ventilasi","KM Dalam, Wifi, Ruang Cuci, Kulkas, Ruang Tamu, Mesin Cuci, Listrik","Rp. 1.100.000/bulan","5.0","5.0","5.0","4.4","5.0","5.0","5.0","571 m dari POLINEMA"
"Kost M Panjaitan Klojen Malang 796MP","Putri","Kasur, Meja, TV, Lemari, Kursi","KM Dalam, Wifi, Ruang Cuci, Kulkas, Mesin Cuci, Ruang Makan, Listrik","Rp. 900.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","569 m dari UB"
"Kost Sengguruh 14 Tipe B Lowokwaru Malang R8TR229Y","Putra","Kasur, Meja, Lemari, Ventilasi, Bantal","KM Luar, Wifi, Ruang Cuci, Penjaga, Ruang Jemur, Listrik","Rp. 600.000/bulan","5.0","4.0","5.0","4.0","4.0","4.0","4,4","606 m dari UMM"
"Kost Ulul Albaab Tipe A Lowokwaru Malang 259681PU","Putri","Kasur, Meja, Lemari, Bantal, Cermin","KM Luar, Wifi, Kulkas, ruang Cuci, Ruang Jemur, Ruang Santai, Listrik","Rp.  800.000/bulan","5.0","5.0","5.0","5.0","50","5.0","5.0","542  m dari UB"
"Kost 54 Bening Tipe A Lowokwaru Malang P9Z9BK94","Putra","Kasur, Meja, Lemari, Ventilasi, bantal","KM Luar, Wifi, Ruang Cucu, Penjaga, Ruang Jemur, Parkir Motor, Listrik","Rp. 1.000.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","678 m dari UMM"
"Kost Apik Rumah Sakit V Tipe A Klojen Malang 558PCG8F","Putri","Kasur, Meja, Lemari Baju, Kursi, Cermin, Bantal Guling, Jendela, Ventilasi","Wifi, KM.Luar, Kulkas, R.Tamu, Luandry, R.Jemur, Listrik, Parkir Motor","Rp. 841.000/bulan","4.0","4.5","4.5","4.5","4.0","4.0","4.3"," 2.2 km Ke UM"
"Kost Sumbersari 227B Tipe A Lowokwaru Malang FVB503Q4","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Bantal, Jendela, Kursi","Listrik, KM.Luar, Ember Mandi, Shower, Wifi, Kulkas, R.Cuci, R.Tamu, R.Jemur, R.Makan, R.Santai, Dapur, Jemuran, Pengurus Kost, Parkir Motor","Rp. 700.000/bulan","4.7","5.0","4.7","4.7","4.7","4.7","4.8","530 m ke UB"
"Kost 251 Raya Candi Tipe B sukun Malang 79Z7ER5F","Putri","Kasur, Lemari Baju, Ventilasi, Bantal, Cermin","Listrik, km.Luar, Ember Mandi, Wifi, R.Tamu, Penjaga Kost, Dapur, KM.Luar, Parkir Mobil dan Motor.","Rp. 802.000/bulan","4.5","4.5","4.5","4.5","4.5","4.5","4.5","1.2 km  Ke UMM"
"Kost Bumi Palapa Tipe Premium Lowokwaru Malang 259816PB","Putri","Kasur, Meja, Lemari Baju, Kursi, Bantal","KM.Luar, Wastafel, Shower, Wifi, R.cuci, Kulkas, R.Tamu, Penjaga Kos, Parkir Mobil dan Motor","Rp. 850.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","955 m ke UNISMA"
"Kost Ridgecamp Lowokwaru Malang 486213RL","Putri","Kasur, Meja, Lemari Baju, Ventilasi, Kursi,  Kipas Angin, Bantal, KM.Dalam, Shower","Listrik, Wifi, Kulkas, R.Tamu, R.Makan, R.Jemur, R.Santai, Dapur, Tv, Balcon, KM.Luar, Parkira Mobil dan Motor","Rp. 850.000/bulan","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.7 km ke POLINEMA"
"Kost Muslim Griya Soehat Tipe B Lowokwaru Malang 623718MU","Putri","Kasur, Meja, Meja Rias, Lemari Baju, Kursi, KM. Dalam, Shower","Listrik, Wifi, R.Cuci, Kulkas, R.Tamu, R.Makan, R.Jmeur, R.Santai, Dapur, Dispenser, Tv, Parkir Mobil dan Motor","Rp. 950.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","591 m Ke UB"
"Kost Omah Katkus 10 Lowokwaru Malang 715283OK","Putri","Kasur, Meja, Lemari Baj, Kursi, Bantal, KM. Dalam, Shower","Listrik, Wifi, R.Cuci, Kulkas, Penjaga Kos, R.Jmeur, Parkir Mobil dan Motor","Rp. 1.100.000/bulan","4.6","5.0","5.0","5.0","5.0","4.3","4.8","648 m Ke POLINEMA"
"Kost Bungan Merak ll Tipe A Lowokwaru Malang 536948BU","Putri","Kasur, Meja, TV, Lemari Baju, Kursi, Kipas Angin, KM. Dalam, Air Panas","Listrik, Wifi, Kulkas, R.Tamu, Penjaga Kos, Laundry, R.Makan, R.Jemur, R.Santai, Dapur, Parkir Mobil dan motor ","Rp. 875.000/bulan","3.9","3.5","3.5","3.8","3.5","3.8","3.6","726 m ke POLINEMA"
"Kost Kk Camp Lowokwaru Malang 146KC","Putri","Kasur, Meja, Lemari Baju, Kulkas, Ventilasi, KM.Dalam, Shower, Air Panas","Wifi, R.Cuci, Kulkas, R.Tamu, Penjaga Kost, Parkir Mobil dan Motor","Rp. 1.100.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","555 m Ke POLINEMA"
"Kost SHI 231 Tipr B Lowokwaru Malang 195SI","Putri","Kasur, Meja, Lemari Baju, Kursi, Kipas Angin, KM. Dalam, Ember Mandi","Listrik, Wifi, R.Cuci, Kulkas, R.Tamu, Penjaga Kost, Parkir Mobil dan Motor","Rp. 1.100.000/bulan","5.0","5.0","5.0","4.0","5.0","5.0","4.9","1.9 km Ke POLINEMAKo"
"Kost Bu De Lowokwaru Malang 138BD","Putri","Kasur, Meja, Dispenser, Lemari Baju, Kulkas, KM.Dalam, Shower, Ember Mandi","Listrik, Wifi, Kulkas, R.Tamu, Penjaga Kos, Laundry, Parkir Mobil dan Motor","Rp. 950.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","837 m Ke UB"
"Kost Guest House Eksekutif Poncowati 17 Blimbing Malang 681GH","Putra","AC, Kasur, Meja, Dispenser, TV, KM. Dalam, Shower","Listrik, Wifi, Kulkas, R.Tamu, Penjaga Kos, Laundry, Parkir Mobil dan Motor","Rp. 1.000.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0",""
"Kost Griya Cappadocia Lowokwaru Malang 6C28EEW0","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal, KM. Dalam, Shower","Listrik, Wifi, Kulkas, R.Cuci, Mesin Cuci, R.Tamu, Parkir Motor","Rp. 975.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","393 m ke POLINEMA"
"Kost Griya Amsterdam Tipe A Lowokwaru Malang 537GA","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Kursi, KM. Dalam, Shower ","Listrik, Wifi, R.Cuci, Kulkas, R.Jemyr, R.Santai, Parkir Motor","Rp. 900.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","1.2 km UNISMA"
"Kost 54 Bening Tipe A Lowokwaru Malang P9Z9BK94","Putra","Kasur, Meja, Lemari Baju, Ventilasi, Bantal","Listrik, Wifi, R.Cuci, Penjaga kos, R.Tamu, R.Jemur, KM. Luar, Ember Mandi, Parkir Motor","Rp. 1.000.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","678 m ke UMM"
"Kost Villa Puncak Landungsari Dau Malang 712584VP","Putra","Kasur, Lemari Baju, Kursi, Jendela, Meja, Ventilasi, Bantal","Listrik, KM.Luar, Ember Mandi, Wifi, R.Tamu, R.Jemur, Dapur, Jemuran, R.Cuci, Penjaga Kos, R. Santai, CCTV, Pengurus Kos, Parkir Mobi dan Motor","Rp. 1.000.000/bulan","4.0","4.0","4.0","3.7","3.7","3.7","3.9","2.0 km Ke UNISMA"
"Kost Griyas Aisyah Lowokwaru Malang 784932GA","Putra","Kasur, Meja, TV, Lemari Baju, Ventilasi","Listrik, KM. Luar, Shower, Wifi,  Kulkas, R. Tamu, R.Jemur, R.Santai, Parkir Mobil dan Motor","Rp. 850.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","791 m Ke UNISMA"
"Kost Singgahsini Al Thalib 8 Tipe C Lowokwaru Malang R3E6B4K8","putra","AC, Kasur, TV, Lemari baju, Ventilasi, KM.dalam, Wastafel, shower, air panas","WiFi, R.cuci, Kulkas, R.tamu, Penjaga kos, listrik, parkir motor, parkir mobil, parkir sepeda","Rp. 1.715.000/bulan","5.0","5.0","5.0","5.0","4.7","5.0","5.0","1.3 km ke politeknik negeri malang"
"Kost Singgahsini Al Thalib 8 Tipe B Lowokwaru Malang LY557ER4","putra","AC, Kasur, TV, Lemari baju, bantal, KM.dalam, Wastafel, shower, air panas","WiFi, R.cuci, Kulkas, R.tamu, Penjaga kos, listrik, parkir motor, parkir mobil, parkir sepeda","Rp. 1.995.000/bulan","","","","","","","","1.3 km ke politeknik negeri malang"
"Kost Singgahsini Kozroom Tipe A Brawijaya Malang 176245SK","putri","AC, kasur, meja, TV, lemari baju, KM.dalam, shower, air panas","Wifi, dapur, KM.luar, Balcon, listrik, parkir motor, parkir mobil","Rp. 2.125.000/bulan","5.0","4.9","5.0","4.4","4.8","4.7","4.8","810m ke Universitas Brawijaya"
"Kost Singgahsini Umi Dasaad Tipe A Klojen Malang J050SF8W","campur","AC, kaur, meja, lemari baju, ventilasi, KM.dalam, wastafel, shower, air panas","Wifi, kulkas, R.tamu, penjaga kos, listrik R.makan, parkir mobil, parkir sepeda","RP. 2.215.000/bulan","5.0","5.0","5.0","4.6","5.0","5.0","4.9","1.0 km ke universitas brawijaya"
"Kost Singgahsini Green House Universitas Brawijaya Tipe D Lowokwaru Malang 162539GH","putri","Kasur, meja, lemari baju, kursi, jendela","KM.luar, ember mandi, shower, Wifi, listrik kulkas, R.tamu, R.makan, R.jemur, parkir mobil, parkir motor","Rp.825.000/bulan","4.8","5.0","5.0","5.0","5.0","5.0","5.0","1.3. ke Universitas negeri malang"
"Kost Singgahsini Green House Universitas Brawijaya Tipe C Lowokwaru Malang 514236GH","putri","kasur, meja, lemari baju, kursi, jendela, KM.dalam, ember mandi, shower","Wifi, listrik, kulkas, R.tamu, R.makan, R.jemur, parkir mobil, parkir motor","Rp. 1.025.000/bulan","5.0","4.8","5.0","4.3","4.8","5.0","4.8","1.3 km ke politeknik negeri malang"
"Kost Singgahsini Green House Universitas Brawijaya Tipe B Lowokwaru Malang 946185GH","putri","Kasur, meja, lemari baju, kursi, jendela. KM.dalam, ember mandi, shower","WiFi, kulkas, listrik, R.tamu, R.makan, R.jemur, parkir mobil, parkir motor","Rp. 1.125.000/bulan","4.8","4.9","5.0","4.8","4.9","4.7","4.9","1.3 km ke politeknik negeri malang"
"Kost Singgahsini Taman Nusa Indah Tipe A Lowokwaru Malang 945283ST","putra","Kasur, meja, lemari baju, ventilasi, kursi, KM.dalam, shower, air panas","Wifi, R.cuci, R.tamu, penjaga kos, R.santai, parkir motor","Rp. 1.225.000/bulan","4.9","4.8","4.9","4.6","4.8","4.5","4.8","1.3 km ke politeknik negeri malang"
"Kost Singgahsini Green House Universitas Brawijaya Tipe A Lowokwaru Malang 824957GH","putri","Kasur, meja, lemari baju, kursi, jendela, Km.dalam, ember mandi, shower","WiFi, kulkas, listrik, R.tamu, R.makan, R.jemur, parkir mobil, parkir motor","Rp. 1.225.000/bulan","4.6","4.9","5.0","4.3","4.8","4.6","4.8","1.3km ke universitas negeri malang"
"Kost Bantaran IIID Lowokwaru Malang 798BI","putra","kasur, lemari, kipas angin","KM.luar, bak mandi, Wifi, R.cuci, R.jemur, Dapur, K.mandi luar, parkir mobil, parkir motor, parkir sepeda","Rp. 500.000/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","2.2km ke politeknik negeri malang"
"Kost Apik PUMA Ciwalk Tipe B Coblong Bandung 1D7R9L5X","Campur","AC, Kasur, Meja, TV, Lemari baju, KM.dalam, Kloset duduk, shower, air panas","Wifi, listrik, R.tamu, penjaga kos, TV, CCTV, parkir mobil, parkir motor, parkir sepeda","Rp. 2.525.000/bulan","5.0","5.0","5.0","4.8","4.9","4.9","5.0","804 ke Institut teknologi bandung"
"Kost Apik Amira Pasteur Tipe A Cicendo Bandung QF8L904P","Campur","Kasur, meja, lemari baju, kursi, bantal, KM.dalam, Ember mandi","Wifi, penjaga kos, listrik, parkir motr, parkir sepeda","Rp. 1.022.500/bulan","","","","","","","","2.5 km ke universitas islam bandung"
"Kost Apik Lusya Cihampelas Walk Tipe A Sukajadi Bandung 32YLC7H4","putri","Kasur, jendela, bantal, KM.dalam, Ember mandi, shower","WiFi, R.tamu, penjaga kos, R.jemur, dapur, parkir motor, parkir sepeda","Rp.1.127.000/bulan","4.3","4.3","4.3","4.3","4.3","4.3","4.3","964m ke institut teknologi bandung"
"Kost Apik Lusya Cihampelas Walk Tipe D Sukajadi Bandung 4BT24CT3","putri","Kasur, Ventilasi, Bantal, Jendela, KM.dalam, Ember mandi, shower","Wifi, R.tamu, penjaga kos, R.jemur, Dapur, parkir motor, parkir sepda","Rp.927.500/bulan","5.0","5.0","5.0","5.0","5.0","5.0","5.0","964 m ke Institut Teknologi Bandung"
"Kost Apik Kebon Bibit 21 Tipe D Taman Sari Bandung 54BR0GF7","putri","kasur, meja, lemari, kursi, bantal","KM.luar, shower, listrik, wifi, R.tamu, mesin cuci, R.makan, R.jemur, parkir mobil, parkir motor, parkir sepeda","Rp. 842.000/bulan","4.2","4.8","4.6","4.8","4.6","4.6","4.6","800m ke Institut Teknologi Bandung"
"Kost Apik Kebon Bibit 21 Tipe A Taman Sari Bandung C4N6X7G8","putri","kasur, meja, kursi, bantal, jendela, lemari","KM.dalam, shower, Wifi, listrik, R.tamu, mesin cuci, R.makan, R.jemur, parkir mobil, markir motor, parkir sepeda","Rp. 1.355.000/bulan","4.0","4.0","5.0","4.0","4.0","3.0","4.0","800m ke Institut Teknologi Bandung"
"Kost Apik Setiabudi Damar Home Tipe C Bandung 153689AI","putri","kasur, meja, lemari, bantal, jendela","Wifi, penjaga kos, dapur, KM.luar, shower, bak mandi, parkir motor","Rp. 1.072.000/bulan","4.9","4.8","4.9","4.9","4.9","4.9","4.9","1.7 km ke institut teknologi bandung"
"Kost Apik Setiabudi Damar Home Tipe B Bandung 153689AP","putra","kasur, meja, lemari baju, bantal, jendela","KM.luar, shower, Wifi, penjaga kos, dapur, parkir motor","Rp. 1.025.000/bulan","4.7","4.7","4.8","4.5","4.7","4.4","4.6","1.7 km ke institut teknologi bandung"
"Kost Singgahsini Radiant Tipe A Pasteur Bandung 42JN5VC1","putri","kasur, meja, lemari, ventilasi, kursi, KM.dalam, shower","Listrik, Wifi, R.cuci, kulkas, R.tamu, R.jemur, parkir motor","Rp.1.545.000/bulan","5.0","4.9","5.0","4.8","4.9","4.8","5.0","2 km ke institut teknologi bandung"
"Kost Apik Setiabudi Damar Home Tipe A Bandung 153689AS","putra","Kasur, meja, lemari, bantal","KM. luar, shower, Wifi, penjaga kos, dapur, parkir motor","Rp.835.000/bulan","4.3","4.3","4.3","4.0","4.3","4.3","4.3","1.7 km ke institut teknologi bandung"
"Kost Singgahsini Sangkuriang 19 Tipe C Dago Bandung 379512AS","putra","kasur, meja, lemari, kursi, bantal, KM.dalam, shower, air panas","Listrik, wifi, R.tamu, dapur, dispenser, KM.luar, parkir mobil, parkir motor","Rp. 1.592.000/bulan","5.0","5.0","5.0","4.5","4.7","4.7","4.8","957km ke Universitas Katolik Parahyangan"
"Kost Singgahsini Sangkuriang 19 Tipe A Dago Bandung 389715AS","putra","kasur, meja, lemari, kursi, bantal","Listrik, KM.luar, shower, air panas, wifi, R.tamu, Dapur, Dispenser, parkir mobil, parkir motor","Rp. 1.450.000/bulan","4.8","4.8","4.9","4.3","4.6","4.7","4.6","957km ke Universitas Katolik Parahyangan"
"Kost Apik Lusya Cihampelas Walk Tipe C Sukajadi Bandung KC945EH9","putri","Kasur, Ventilasi, Bantal, Jendela","KM.luar, Ember mandi, wifi, R.tamu, penjaga kos, R.jemur, dapur, parkir motor, parkir sepeda","Rp. 1.022.500/bulan","","","","","","","","964m ke institut teknologi bandung"
"Kost Apik Pondok Paskal Tipe A Cicendo Bandung VZ57ML16","campur","kasur, lemari, ventilasi, bantal, jendela","listrik, KM.luar, ember mandi, penjaga kos, R.jemur, Dapur, parkir motor, parkir sepeda","Rp. 804.000/bulan","4.6","4.6","4.6","4.4","4.6","4.5","4.6","1.2 km ke Universitas Islam Bandung"
"Kost Apik Ciumbuleuit 1 Tipe A Cidadap Bandung HQK9198V","campur","kasur, meja, lemari, bantal, guling","Listrik, Km.luar, ember mandi, bak mandi, Wifi, parkir motor, parkir sepeda","Rp. 690.000/bulan","4.9","5.0","5.0","4.9","5.0","4.9","4.9","1.6 km ke institut teknologi bandung"
